,Unique ID,NTS Sheet,Latitude_NAD83,Longitude_NAD83,Old Zn,Old Cu,Old Pb,Old Ni,Old Co,Old Ag,Old Mn,Old Fe,Old As,Old Mo,Old F,LOI,Old Hg,Old U,Sample Type,NTS,Latitude (NAD 27),Longitude (NAD 27),New Ag,New Al,New As,New Au,New B,New Ba,New Be,New Bi,New Ca,New Cd,New Ce,New Co,New Cr,New Cs,New Cu,New Dy,New Er,New Eu,New Fe,New Ga,New Gd,New Ge,New Hf,New Hg,New Ho,New In,New K,New La,New Li,New Lu,New Mg,New Mn,New Mo,New Na,New Nb,New Nd,New Ni,New P,New Pb,New Pd,New Pr,New Pt,New Rb,New Re,New S,New Sb,New Sc,New Se,New Sm,New Sn,New Sr,New Ta,New Tb,New Te,New Th,New Ti,New Tl,New Tm,New U,New V,New W,New Y,New Yb,New Zn,New Zr
3336,023J783153,023J,54.4656933,-66.7712516,380.0,56.0,12.0,70.0,48.0,,620.0,6.1,,11.0,500.0,20.6,150.0,2.1,Routine,023J,54.46559,-66.77197,518.0,3.36,1.8,1.1,,187.5,0.7,0.06,0.25,1.12,52.3,45.6,124.0,1.02,54.48,3.04,1.47,1.03,5.68,8.1,4.57,0.1,0.05,180.0,0.52,0.05,0.28,26.5,20.1,0.16,0.93,634.0,11.62,0.002,1.87,27.72,79.2,0.118,16.4,,7.19,,29.9,2.0,0.13,0.05,7.9,0.9,5.21,0.3,18.1,,0.65,0.05,3.7,0.134,0.4,0.2,1.8,93.0,0.8,13.22,1.24,380.0,1.9
3337,023J783154,023J,54.4452556,-66.7675797,365.0,38.0,9.0,37.0,16.0,,400.0,2.25,,14.0,120.0,28.4,130.0,0.7,Routine,023J,54.44515,-66.7683,364.0,1.01,19.8,1.6,,290.4,0.4,0.55,1.58,0.96,37.5,14.5,25.8,0.96,37.05,3.77,2.4,1.11,3.1,3.4,5.25,,0.05,145.0,0.87,0.05,0.06,23.4,8.6,0.35,0.7,3550.0,1.02,0.017,0.59,25.42,18.6,0.142,38.38,,6.84,,7.5,1.0,0.2,2.38,3.6,1.6,5.06,1.7,32.3,,0.78,0.05,0.8,0.03,0.22,0.33,7.7,44.0,0.2,24.03,2.2,168.8,0.9
3338,023J783156,023J,54.4296574,-66.6971005,330.0,72.0,8.0,136.0,44.0,,1900.0,5.7,2.0,11.0,365.0,14,90.0,4.0,Routine,023J,54.42955,-66.69783,259.0,3.13,7.7,,,396.1,1.0,0.07,0.35,2.52,154.4,55.4,99.8,0.98,89.88,4.53,2.28,1.41,5.58,5.9,6.54,,0.06,110.0,0.82,0.03,0.29,48.8,21.1,0.25,0.77,1927.0,9.92,0.007,1.55,45.56,207.2,0.185,13.01,,13.35,,27.1,8.0,0.12,0.12,9.2,1.1,8.31,0.3,19.4,,0.97,0.05,5.3,0.115,1.23,0.31,4.2,86.0,0.5,20.42,1.97,361.5,2.2
3339,023J783157,023J,54.3899686,-66.6760029,235.0,46.0,2.0,40.0,11.0,,560.0,2.4,,4.0,145.0,34.2,120.0,1.4,Routine,023J,54.38987,-66.67673,333.0,1.87,0.4,,,76.7,0.5,0.03,0.47,1.29,51.8,11.1,72.9,0.36,48.08,3.5,2.05,1.4,2.16,2.5,5.14,0.1,0.03,164.0,0.64,,0.06,38.0,6.5,0.27,0.3,517.0,3.71,0.008,0.75,36.0,46.1,0.037,5.82,,9.82,,6.5,3.0,0.31,0.05,7.6,1.2,6.68,0.1,13.4,,0.74,0.04,2.0,0.042,0.19,0.26,1.5,31.0,0.2,18.21,1.7,234.4,1.0
3340,023J783158,023J,54.3834142,-66.6666398,140.0,34.0,,32.0,10.0,,940.0,2.75,,3.0,110.0,29.8,120.0,1.5,Routine,023J,54.38331,-66.66737,329.0,1.78,0.5,,,81.5,0.7,0.03,0.43,0.83,49.4,10.5,55.6,0.26,36.62,3.55,2.04,1.34,2.62,2.1,4.85,,0.04,165.0,0.65,0.02,0.04,35.0,5.8,0.22,0.27,882.0,3.0,0.011,0.45,35.64,40.5,0.05,4.65,,9.66,,4.3,2.0,0.26,0.04,6.3,0.7,6.61,,14.2,,0.69,0.03,1.6,0.028,0.18,0.28,1.4,28.0,0.2,17.62,1.57,145.0,0.8
3341,023J783159,023J,54.3353066,-66.6813812,240.0,82.0,4.0,60.0,37.0,,320.0,2.8,,7.0,185.0,35.6,120.0,1.0,Routine,023J,54.3352,-66.6821,372.0,3.04,0.9,0.3,,116.8,0.9,,0.49,1.08,79.9,42.7,81.9,0.21,91.91,4.65,2.38,1.64,2.61,3.2,6.36,0.1,0.03,170.0,0.82,0.05,0.07,36.1,4.8,0.27,0.22,276.0,8.76,0.009,1.18,41.28,79.6,0.099,8.17,,10.57,,6.7,1.0,0.28,0.04,7.0,1.3,7.89,0.1,38.0,,0.9,0.04,1.5,0.051,0.92,0.34,1.2,58.0,0.5,22.57,1.97,264.8,0.9
3342,023J783160,023J,54.3174156,-66.6738385,74.0,28.0,2.0,26.0,6.0,,120.0,0.55,,3.0,60.0,34.6,90.0,0.5,Routine,023J,54.31731,-66.67456,166.0,0.86,,,,52.7,,,0.36,0.48,21.5,5.1,33.5,0.15,28.23,1.54,0.89,0.65,0.44,1.6,2.13,,,144.0,0.31,,0.04,12.2,3.3,0.09,0.13,68.0,2.81,0.008,0.4,13.47,29.1,0.049,2.56,,3.61,,3.2,3.0,0.36,0.04,1.7,0.8,2.64,,33.4,,0.31,,0.1,0.023,0.09,0.12,0.4,16.0,0.2,7.51,0.71,75.9,0.1
3343,023J783162,023J,54.2824516,-66.662551,164.0,116.0,8.0,48.0,20.0,0.7,310.0,3.7,,7.0,245.0,38,240.0,1.8,Routine,023J,54.28235,-66.66327,1117.0,3.93,2.5,2.2,,121.1,0.8,0.04,0.43,0.91,80.9,22.4,127.5,0.67,120.3,5.06,2.64,1.94,3.64,6.8,7.43,0.1,0.02,257.0,0.87,0.05,0.17,46.8,11.9,0.33,0.52,285.0,7.51,0.005,1.81,49.53,63.1,0.281,11.38,,13.42,3.0,17.0,3.0,0.23,0.03,9.9,2.2,9.5,0.3,30.3,,1.06,0.08,1.8,0.091,0.37,0.36,1.8,87.0,0.6,23.18,2.27,169.1,1.2
3344,023J783163,023J,54.2739844,-66.6478388,116.0,57.0,2.0,28.0,12.0,0.2,310.0,1.8,,2.0,105.0,28.4,130.0,0.8,Routine,023J,54.27388,-66.64856,544.0,2.36,0.7,0.4,,72.4,0.7,0.02,0.21,1.24,43.6,14.3,71.6,0.38,60.66,3.07,1.4,1.21,1.94,3.6,4.18,,,186.0,0.53,,0.07,27.2,4.9,0.22,0.21,311.0,3.87,0.005,0.68,28.53,35.3,0.133,5.43,,7.46,2.0,7.3,,0.24,0.03,4.2,1.5,5.37,0.1,17.4,,0.54,0.03,0.4,0.036,0.14,0.2,1.1,47.0,0.1,13.94,1.27,131.5,0.2
3345,023J783165,023J,54.2232788,-66.5783858,255.0,40.0,2.0,57.0,21.0,0.2,1950.0,5.4,,4.0,110.0,28,150.0,1.1,Routine,023J,54.22318,-66.57911,444.0,2.48,2.7,,,160.9,1.0,0.05,0.35,1.77,58.2,24.6,58.7,0.24,41.79,4.39,2.29,1.74,5.18,2.3,6.15,0.2,0.04,244.0,0.78,0.02,0.04,45.6,6.6,0.33,0.21,1710.0,3.86,0.009,0.47,46.44,69.1,0.077,6.68,,12.4,,3.9,7.0,1.75,0.05,8.2,4.0,7.7,,22.7,,0.8,,2.2,0.028,0.53,0.32,1.2,34.0,0.1,21.65,1.8,269.0,1.2
3346,023J783166,023J,54.2036786,-66.5774166,590.0,58.0,18.0,84.0,72.0,0.3,14500.0,6.7,1.0,9.0,150.0,32.2,290.0,4.4,First Field Duplicate,023J,54.20358,-66.57814,791.0,4.47,4.8,0.7,,271.1,0.6,0.03,0.73,3.5,65.7,78.2,65.4,0.36,61.11,4.25,2.08,1.55,6.51,4.9,5.5,0.2,0.08,342.0,0.76,0.04,0.06,32.8,7.6,0.3,0.25,,8.44,0.006,0.78,33.84,110.2,0.182,25.49,,8.76,,5.7,,0.18,0.02,9.4,1.6,6.67,0.1,27.8,,0.84,0.03,2.9,0.053,0.73,0.28,4.6,56.0,0.4,20.55,1.92,616.3,2.0
3347,023J783168,023J,54.1638922,-66.5718377,235.0,56.0,,90.0,44.0,,44000.0,13.9,2.0,2.0,40.0,33.4,180.0,1.8,Routine,023J,54.16379,-66.57256,593.0,4.51,12.0,0.6,,661.3,1.0,0.03,0.81,1.22,57.5,49.6,77.7,0.18,58.84,4.64,2.55,1.69,13.09,5.1,5.69,0.4,0.08,276.0,0.84,0.03,0.02,30.7,9.3,0.33,0.22,,1.52,0.005,0.32,31.85,118.6,0.154,3.56,,8.71,,2.1,3.0,0.17,0.02,14.1,1.4,6.49,0.1,18.8,,0.86,0.08,3.1,0.03,0.54,0.34,2.1,47.0,0.2,23.24,2.33,249.9,2.4
